,0
1636,1:04:23 bhai ashneer ne amithabh Bachchan se bhi upfront baat ki notice karna
1637,"Founder and CEO of ""doglapan"""
1638,Aap ashneer ka interview le rahe hey ya aap khud interview de rahe hey bro lolz ..
1639,Ashneer is best.. Siddhi bat.. No sugary talk!
1640,Hindi can be respectful... If you try
1641,Ye Banda bohot clear hai
1642,57:30 Namita 
1643,Stop moving your hands around your face and unnecessary movement. That's the lesson
1644,Plzz speak in hindi
1645,Le ashnir bhai at end naughty hore ho Raj bhai
1646,full video one go me dekha h bhaiii
1647,Iss ek video ne aur isse nikle shorts ne bhai ko saal bhar ka paisa kamake de diya.
1648,1:15:40
1649,I wish the interviewer had better and interesting qts. Ranveer Alhabadia is a better interviewer.
1650,Toh MRP hona acchi baat he na...aam admi ko bhi toh jeena do IITian Ashneer...Sab aapke jitne intelligent nahi he 
1651,areey bhaai subtitlessssss add karooo
1652,Geinus
1653,"Bhai yeh Banda kya keh rha hai ki india mein stocking ka culture nhi hai?
Big bazaar d Mart relaince fresh in sab kya
Crores ki company hai
Main khud har month 12-15 k ki shopping gorceries ki kar ata hun"
1654,i am wandering boats ke products affordable hone ke baad bhi 50 percent margin value kaise bana lete hain..
1655,Inka toh dhanda band hogya hai 
1656,Funny Ashneer talking about trust! BharatPe Sacks Founder's Wife for irregularities her brother is probably involved too. Cannot happen without Ashneers knowledge! And he lecturing PEOPLE about trust in FINTECH!
1657,1:06:38
1658,He is not Ashneer Grover he is Gulshan Grover
1659,dammm 
1660,"U started ur talk with the topic of drinking…..he is a billion dollar man ,couldn’t u come up with something better. Such a bummer."
1661,Pura Gautam Gambhir
1662,Isse pata chalta hai ki aap indian customers ko chutiya nhi bana sakte ho
1663,Ashneer is only 39
1664,Ye india me dekhna chahta hu
1665,1:00:22
1666,"Mandak banda,  frog..ghamand bhot hai is bande me."
1667,1500 crore log rupay laga chukay 12%club mei utne toh hai bhi nhi.
1668,I am like Asneer and most people also don't like...sab door bhakte hain mujse. 
1669,"No don't make your Role Models with little knowledge about them. 

Asneer is very rude and inhuman person and also a Great cheater."
1670,Super hit Shamani
1671,"Wasted 8 minutes discussing alcohol, smoking, hukkah. If you don't drink, why are you thinking and discussing so deeply about substances? God knows what kind of networking opportunities you miss, if you are are talented but don't drink. Skipping the remaining interview."
1672,Has anyone tried 12% club. Is it trustworthy. Do we get 12%pa surely. What are the risks involved?
1673,1:20:00
1674,I think my way of talking is somehow like ashneer in first meet u hate me but after some meeting u can check the reality...
1675,invesstment banking =  dalali ka dhanda
1676,"Founder and CEO of Doglapan Pvt Ltd.









Just kidding"
1677,Agar aapne dhyaan diya toh ..ashneer bhai hindi me bol rhe hain
1678,Subtitles..
1679,The only good thing about this video is Ashneer Grover. The host is so pretentious and constantly trying to impress.
1680,Bade log jab Tak ek taang par taang nahi rakh karke baith te hai tab Tak bade hone wali feeling nahi aati
1681,20:22
1682,Is Bande ka Doglapan na utaar de Ashneer..
1683,"1:20:00,25:00,26:30,28:00,1:00:00,41:20,31:40,17:00,1:12:00,1:02:00,1:03:00,1:08:00"
1684,nice hoodies!!!
1685,bhai sabko Dhande pe bithayega.
1686,Aman gupta ka podcast chaiye
1687,Mai BABA thode hun 
1688,Gautam gambhir ka Kumv mele mein khoya  hua vai 
1689,One more entertaining episode- https://youtu.be/KTm2Fi9Z0K0
1690,1:00:00
1691,Bhai Banda zabardast hai main isko ghanto sun sakta hoon
1692,23;00 ticket size
1693,He is Scammer
1694,26:42
1695,Raj bro at least you should have given him a glass of water
1696,What is a ticket size?
1697,I have never heard about bharat pay. Phone pay is good
1698,baaat to duniya bhar ki kar di thora profit loss ki bhi baat karo
1699,SASHVAT NAKRANI is the founder
1700,He look like jethalaal
1701,Krishna ko bulaoo Apne show pe pls
1702,Has anyone noticed asheer's fake nose
1703,Panju was so triggering
1704,"shar ka matlb ek bar dekho: 
a large, often dangerous, sea fish that has a lot of sharp teeth

ye koi acha word to nhi insano k lye..ye bevkoof to nhi ki khud ko shark bolte h.."
1705,19:20
1706,Boss me finance ke bnda hu 8 saal se stock market me kaam krte hnu or ashneer bhai behavior mujhe bhot psnd aaya me bhi state forword hu or itna hu ki mujhe mere suraal wale bhi akharh khte hne jin episode me anshneer bhai nhi the un episode ko mene open krke imidate  bnd kdiye just ashneer bhai ke wjhe se mene saare episode dekhe hne ab me linkd in bhi follow krunga
1707,27:46
1708,15:00-++18:00
1709,areyy bhai subtitles attach karo
1710,51:40
1711,Bhai tmhari video ke advertisement stick ho rhe hai screen pe ...aage video ni chala rhe ..that's pathatic
1712,Anchor is only repeating him.
1713,31:20
1714,25:00
1715,Raj Bhai jitni English use karte ho nh ap isliye subs kam h
1716,Chalo Kapil ko hasate hein
1717,Jai shree Ram
1718,Why drinking smoking speaking English considered to be cool
1719,"Stupid discussion, atleast in the start, seems Daru Pe Charcha...."
1720,Isn't he not saying...other people in shark tank India ( investrors) are.....FAKE??
1721,"Aasneer, mere enke jese dikhte hie."
1722,41:00
1723,40:00
1724,Aman Gupta is the best
1725,26:00
1726,42:00
1727,1:08:52 ye police wala uthane agya. Ye kya system hai. Someone please explain.
1728,"6 din bijili aati nhn, How E-vehicle is going to be success?"
1729,"https://youtu.be/5pUzKW7dGSI


Ashneer latest move/ Bharat pe ashneer feud"
1730,Anupam mittal ko bulao yaar
1731,Doglapan lagake le to li maximum reach.
1732,Sab dogalapan hai bhai
1733,30:00
1734,ये जरूरी थोड़ी है की अंग्रेजी में ही बात करें। और अगर पूरे देश में दिखाना है तो पूरा ही अंग्रेजी करो। जो भी हो बहुत बढ़िया था
1735,27:00
1736,Ashneer bhai ki language me bolu bhai tu kuch naya nahi kar raha .. Ranveer  allahbadia bhi ye hi kar raha he...khatam tata good bye ..gaya 
1737,TRS vibes
1738,Set-up achhe se kia kro yar
1739,"Who is Vijay ,he is talking about "
1740,Mujhe aise bande bahut pasand hai jo muh pe ha ya na bol de.
1741,slice hai bhai postpe ki pehle kar chuke the
1742,Interesting
1743,Nice khasssi
1744,Bitter better than butter
1745,Yaha tatte or followers dabe ke milenge ..sab Asneer ko follow karenge....Apna karo create ur own story.
1746,logg switch kyu karte hai pata nhi bhai isko .... lol 
1747,Aasteen ke saanp
1748,tuchya podcaster
1749,yha logo ke paas rehne ki jagah nhi h .....mahine bhr ka khana le ke kha rkhenge.
1750,Isse hangout karna hai !
1751,हिंदी की इतनी तारीफ सुन के बे होस्ट इंग्लिश इस्तेमाल करने पे उतारू है. वाह
1752,"Ashneer is rudest and ,most arrogant businessman ...no respect no ethics...only money making aur yha pe apni rudeness ko justify bhi kar rha hn....toh bhaai acche se hi bol de na ky jrurat hn batmeezi se bolne ki"
1753,Ye sbb doglapann h
1754,Bhai sach sach bol tu apne sare guest ko maal fookwata hai na interview ke pehle ?
1755,bhai tu interview ly raha ya ashneer ko dy raha hai interiew..
1756,"abe hutiye , ""lending is easy"" but ""recovery is most difficult"" and that is the risk you are taking for 12% interest , its very very high risk. Even the principal itself is not secured. Better to invest in Mutual funds at least its less risky than 12% club."
1757,Bhai kar kya ra hai 
1758,1:01:00 mai dhande ki Language bolta hu
1759,Why does the Host look so irritating
1760,Bharat pay se nikal diya
1761,Better than Ranveer allahbadia
1762,Ye doglapan shark tank ke season 2 se bahar hai
1763,grofers ka to maine kbhi naam hi nhi suna tha isse pehle
1764,Mai jaanta hun bohot achi eng bolta hai bhai ashneer jesa hindi mein hin bol
1765,Ashneer should be respectful to entrepreneurs. Jo shark tank me funding maangne aate h woh bheek nahi maang rahe Ashneer se.
1766,48:00
1767,raj is bekar fellow
1768,"Tu Tera kyu suna Raha hey ..
 U r the anchor or host lolz"
1769,Yay anchor ajeeb hai . Is k paas koi baat nai hai karny k lye . Bar bar ek he baat kr rha hai pori video main taa k ashneer bolta rahy kuch na kuch.   chawal.
1770,He is an indian garyvee
1771,Who is this silly guy.. drink drink drink drink what's wrong
1772,cc please
1773,Why you hide Dislike ?
1774,Bhai peyush bansal ko kab la rhe ho
1775,Arey bhai subtitles
1776,ashneer k liye video dekha...intereviewer irritating hai
1777,Ashneer nose looking different 
1778,दूसरों को आईना दिखाता था आज खुद जेल में होगा
1779,yeh duglapan hai !
1780,️️ after all shark tank binge watched...2day....when will season 2 come....
1781,Among all the people of shark tank the i am  biggest fan of  Ashneer Sir.
1782,ACTUALLY SAYING NO MAKE YOUR LIFE MUCH EASIER BUT AT THE SAME TIME IT  REDUCE THE EXPECTATION OF GETTING YES FROM OTHERS
1783,"You missed a very important question that you MUST ask every lender.
""Boss loan de toh dete ho par vapas kitna aata hai usme se?"""
1784,I love this man ya! superb ...Big fan
1785,I love how Ashneer thinks. seedhi baat no bakwas
1786,"the best advice is that ""stop asking for advices"" "
1787,My first video on yt i viewed without skiping any part.
1788,Ashneer ️️️️️️.  Legend
1789,Worth it 
1790,Lovely conversation...
1791,most sorted person ever seen 
1792,One of my fav sharks
1793,"Please ask him: how and when he started using the word: ""Dhanda"""
1794,"Mr Ashneer...
U read market well"
1795,please provide subtitles
1796,like I just want to know how to exactly reach to these legit investors living far away
1797,"Ashneer Bhai, got to see another you, who is soft spoken, ande who doesn't get involved where he is not interested."
1798,Can you please tell when this was shoot . I'm asking because of the current controversy on him.
1799,Great 
1800,Clear cut thoughts...... became a fan of ashneer.
1801,Indian languages are nuanced. Even when I stepped knto corporate I spoke the local language to give respect to seniors ..in English you refer to the person by name in corporate even when ghee are elder. It's difficult to show respect
1802,Wow ️
1803,I'm loving it bhai we love so much to ashneer shark
1804,Highly honest
1805,Merko Aaj sbse bda lesson ye Mila ki ticket size matter karta h me phle sochta tha sasta do or km do sab ayege  but actually we don't need everybody  thank you so much sir
1806,Aj tak ka.. Best interview video hai.. Jisko maine bina distract hoke dekha..
1807,Ashneer Bhai man gaye.......
1808,Very imformative pdcast 
1809,Changed my perception towards Ashneer
1810,Please give English captions
1811,Maza aaya 
1812,Please give appropriate titles to your timestamps
1813,These are fastest 1.23 hours of my life.....
1814,can u give me exact time when ashneer talked about anupam mittal
1815,"Most viewed @raj , congrats"
1816,There's no judge in Shark Tank. It's called Shark. Need to get out of dance-singing show mentality.
1817,This guy is going do somethimg really biggggg
1818,Who Came here after watch of shark tank️️
1819,Raj Bhai️
1820,
1821,I thought it's beer bicep from the thumbnail 
1822,️️️
1823,favourite shark on podcast..
1824,Could've come up with something more interesting... couldn't see raj strategic shamani....otherwise really good interview
1825,No conversation about his controversies. PR activity of Mr Grover?
1826,"Perception of the language too is  class
हिंदी में समझाना जब पड़े, तो समझो खेल ही खत्म है, आर पार है। "
1827,Bohot mze aye Bhai ️️️ after TRS I love you ️
1828,Excellent.
1829,"If what I did on shark tank is a act.
I could have enacted for you but it is not.
What a line of answer this is how you can connect a dot."
1830,"I had my first drink when I was in class 8, Ashneer konsi jamane ki ho bhai"
1831,I love this man because hindi
1832,
1833,God bless youtube.
1834,Ye interview dekhte dekhte 12% club me 1K invest kr diya Grover sahab
1835,Ashneer is my favorite shark
1836,bhai aag hai aag   
1837,"Shit happens - Ashneer
Do epic shit - Ankur

Me - holyshit! "
1838,Raj bhai bhi hindi bolne laga hindi wale statement ke baad
1839,Yeh India ka best Banker Banna tha ab company ise laat mar rahi ha 
1840,"i was thinking at the end ashneer said band karde yeh podcast badbad hojayega ja kar kuch or karley 
(just kidding)"
1841,"Drinking is such a bad habit, ditch it completely."
1842,01:02:00 
1843,U r best shark
1844,Bhai phle ye interview aa jaata to mere paise barbaad nhi hote 
1845,This is showing different face of ashneer much better than shown at shark tank or maybe bharatpe leaves are working good
1846,33:41 Paytm ने already हिला दिया है हमे  | आप  IPO कब ला रहे हो  ये बताओ  ?.
1847,Ashneer GG
1848,Overall good conversation but some of the questions were stupid.
1849,What ever you say mr ashneer the insult for sipline guy from you was not acceptable...
1850,Superb ashnir but kabhi cause ke liye bhi fund kijiye
1851,pls make a video with Aman Gupta
1852,Grover Sahab ki jay ho
1853,"Sab bohot badhiya tha, but softskills walon ki laga di :D"
1854,Spoiled customer 
1855,JioMart will soon surpass bigbasket and grofers
1856,
1857,Puyush Bansal sir ko bhi lao please
1858,Who all think that Ashneer looks like Ajay Jadeja??
1859,Bahut achha hai..grofers didn't work out...local grocers and kirana shops have to make money
1860,paani kyon nhi rakha bhai saamne problem solve krna tho basic hai start up ka 
1861,Ye banda kuch investment ni karta shark me just burai karta aage wale ki.....
1862,"Ashneer grover looks like ""Hmmm"" channel ka host (food vlogger)"
1863,"Yeh hasi ki baat hai ki anchor Hinglish pe Hinglish bole Jaa rahe hai aur uske saamne ek bandha baita hai 20k karod ka business banachuka hai aur Hindi mein fuddu ko answer de raha hai. 

Ashneer tu cheez badi hai mast "
1864,31:10 does he say 1500 crore logo k psy invest kra chuke hai or logo k 1500 crore invest kra chuke hai??
1865,U remind me Kevin from shark tank usa
1866,Seedhe baat no bakwas.
1867,Loss main hai company bhai ki
1868,55:50
1869,This is not good they are entrepreneur but we treat them like celebrity
1870,"wah ,gobar leke aa gye show me, kal gaumutra bechne wlae ko le aoge kya ab?"
1871,100 झूठ से एक सच बड़ा बेहतर है। he is a good man.
1872,Ashneer
1873,"Ashneer Grover se puchh rhe aap kisko sunte ho padhte ho aise sb business insights ke liye? Bhai vo banda IIT, IIM Ahmedabad jo ki top management institute h vaha se padha h, obviously sb knowledge vaha se or baki practical experience se aayi h!"
1874,Interviewer is not knowledgeable
1875,26:00
1876,Sab baniya giri hai 
1877,Majjo agyo
1878,Kya bore kar raha hai bhai. usko 1% bhi interest nahi hai tere personal cheezo pe
1879,मैं बुक नहीं पड़ता 
1880,Gem of a person
1881,"*, thank you ""Raj Shamani"" to make this video.Finally, I am learning how to say straightly NO. It will be help me in my future any type of work or decision."
1882,Straightforward conversation. I didn't skip even 10 sec.
1883,Legend 
1884,Such a true genius he the smartest shark and clear in his thoughts wow
1885,Awesome interview
1886,Wao! Close to 1 million views in 2 days. Just a few months back I had no Idea who Ashneer Grover was.
1887,The most viewed in this channel also great one conversation
1888,BRUTALLY HONEST GENIUS
1889,People are gonna watch it if the product is good! Ye click bait and all doglapan hai ..focus on the process and the outcome will be good..process is the key️
1890,Awesome interview
1891,Best interview
1892,"Finally I got the fire  ,the real man"
1893,Originally the interview started in english 
1894,Ashneer Grover for SHark Tank India Season 2
1895,"Ashneer sir 🇳🇵🇳🇵omg
The way you talk,I seriously love it.i watched also your videos shark tank India. I always watch your videos their but you speak to less.
I love it the way you present yourself."
1896,Raj sir try to upload videos with length of 10 to 15 minutes
1897,"@Raj Shamani, Can you please add subtitles? I would love to know about this conversation because I am deaf."
1898,"this will be most successful video of Raj.
he his going to make a bang on the ad revenue of this video"
1899,Great human being
1900,Thank You Ashneer & Raj
1901,"India need more and more shows like shark tank, rather than that shity show roadies, dance india dance, indian idol, big boss"
1902,Bhai mja aa gya dekh ke ️
1903,Its amazing..
1904,within 2 days this is the most popular video of raj's channel
1905,Aag  lagadiya views mai!! 1Million
1906,Awesome 
1907,"MRP india ka problem nahi, its the best thing.. when we are outside india, we face this problem, whats the actual price of this product?"
1908,"Manager : are u drunk 
Ashneer : are u dumb "
1909,Kya banda haii.. Maja aagya sunke.. Tooo good
1910,Amazing
1911,"Ashneer grover is 3 Idiots ka #Chatur . 
sharp, shrewed and successfull ."
1912,"ashneer is the only one correcting Raj..

Sasync"
1913,Ashneer knows how to do a Dhanda and tap a customer in India. It's the biggest asset
1914,Re acted for you
1915,He is honest then why Ashneer and his wife done scam in Bharat pay
1916,Video hit 1 Million views on 14th feb (Valentine's day)
1917,He is real 
1918,He is my favourite shark..
1919,1.22.42 the moment make me happy
1920,Best Shark and ultra instinct
1921,Why it's not trending?
1922,Best shark 
1923,"बहुत सही है बोस !! Very very practical guy !! मजा आ गया !! ऐसे लोगो के साथ पॉडकास्ट करो तो कुछ सीखने को मिलता है ! नहीं तो हां में हां मिलाने वाले हर जगह मिल जाते है !! धंधा बनाना है , यह दोगलापन है  यह शब्द एक प्रैक्टिकल बंदा ही बोल सकता है"
1924,Kinda ironic to see the title being how to build a profitable business when BharatPe is far from making any profits.
1925,Get a strong Gautam Gambhir vibe from him.
1926,“Dhandhe ki language hindi hain” 
1927,When he said..mujhe ek he cheez samjhe aati h..sab baniyagiri  hain 
1928,"to the point baat, no bakwas
im fan of this man.
Log aise logo ko pasand kar rhe hai aur dekh rhe hai iska matlab log ab alag level pe soch rhe hain, bakwas reality show ab koi ni dekhna chahta."
1929,He must be a great guy but is Bharat Pe profitable 
1930,"sahi hai maine bhi pahele week socha tha hi kya rude hai yar iss toh nahi karna cahiye invest but then mai unka fan bangya 
First u hate him but then u start loving him"
1931,
1932,
1933,Finally 1 million views!
1934,How you pitch to Ashneer to get in podcast???
1935,Isne pehle india consumer smjha hai phir business se relate maara hai....iski customer understanding is exceptional....Indian customer is actually very different from ROW...so not every foreign concept can work in India.You need a lot of modification in a foreign concept when you introduce that in India even a  show like shark tank needs to be entertaining for viewers
1936,I hit like at 1:00:12; when ashneer stated hindi ni bologe to samajh nahi aaega!!
1937,"Felt like ""No"" ""Yes"" ka conversation be mtlb mein chala itna -_-"
1938,Ispe ek se zyaada baar like krne ka option kyu nhi hai
1939,Buisness ka Chanakya !
1940,ashneer is right
1941,Raj is looking clueless sitting next to him
1942,"Pehle 7 saal mein ""KOTAK"" Mein tha "
1943,"But Grofer is lightening FAST. 
better then Bigbasket"
1944,•Silence is the only way.
1945,"""Shit happens in business......."" What kind of statement is this? Then he talks of trust.......Nonsense guy....."
1946,"Why Ashneer abused bank employee for not able to make IPO application, there are thousands of peoples in world who r not lucky to get allotted, they're not abusing others. He spoiled his reputation. Now fighting for the lost bettel. Investors kicked out him in towel."
1947,Wowwwoowow
1948,Raj its not ur interview... y r u telling all this... we only want to hear ashneer..
1949,something got...... figuring out
1950,I like  ashneer grover
1951,"Navjot sidhu also good but i didn't like because of his language and attitude.

so same for ashneer. he need to improve language & attitude towards other."
1952,"People are not so good n not so bad, they are somewhere between good n bad."
1953,The bezzati raj shamani is doing at 1:24:00 to get some extra views would be the most embarrassing thing he would have done to himself....
1954,Bhai aap ya tu vali cheez bachpan se aati h mere dimag me bhi
1955,"India se Tesla ka stock kaise kharid sakte hain, anyone knows which app or Company Mr Grover is referring to?"
1956,"Ashneer ne Wight loss Kiya h lagta h smart lag raha h
.."
1957,Still better than sugarcoating
1958,BHAI AAP YEH VIDEO BAAD MAE DEKHNA PEHLE YEH BATOE YEH BANDA SHARK TANK KAE EK EPISODE KAE LETE HAE 10 LAKH ACCORDING TO INFO AUR AAP INKO 1:30 KAE LIYE KESH BULAYE
1959,1:02:15
1960,1:18:20
1961,0:41 That Indian geek
1962,Add subtitles bhai
1963,raj shamani needs to improve his speaking skills ur a speaker bruh
1964,nic image change...
1965,"38:50 , 41:30 , 01:15:00 , 01:17:06  ,01:17:49"
1966,Haha uska scam bhi  dhek lo bade influence bane aaye bacche
1967,MRP product par hona ek problem nhi balki ek vardaan hai jo garibo aur middle class ko bachake rakha hai nhi toh ye dhandhe vale sabko bech kha jae. It's Babasaheb Ambedkar constitution that has protected us till now.
1968,Mko to ghum firke ek simple cheez smjh aati h ki ye sb baniyagiri h
1969,Ye sach h hamre yaha founder ko police uta leti ...
1970,1:03:00 iti nhi iit
1971,Proposition Simple Execution Immaculate
1972,Khud to chor ha khud ne to bharat pe me commission khaya ha
1973,raj is high
1974,Are yaar Raj toh khud ki laal karne me laga hai n upar se paka b raha hai
1975,yaar audio bass bahot jada he
1976,Postpe and 12% download Kiya Maine ye show dekhkar
1977,"""Makes sense"" is irritating"
1978,Log bakchod hai ...samne wale se bas yes hi sunna chahte h..chahe use Kitni hi problem ho.
1979,Daftar  suddh hindi
1980,"sab PR chlraha h, yehi asli doglapan h"
1981,Interview le raha he ya de raha he????
1982,He looks like jethalal gada
1983,Bro jisse kamate ho usee ko badnam kr rahe ho
1984,Mere liye bohot simple hai
1985,Bhai ye kaun anchor hai...
1986,I never used bharathpe.....best aap Google pay.
1987,Indians most spoiled customer agreed. Well said
1988,Views keliye kisi ko bhi le ayga kya Podcast mein..
1989,Repect hn iitian bahr nahi gayaa
1990,He looks like gautam gambhir
1991,"Hindi hamari rashtra bhasha h
Hindi is best"
1992,"Ye bharat pe jaise hum phonepe use krte hai waise nahi hai kya , kebal merchant ke lye hai kya"
1993,:3
1994,Interviewer bekar hai
1995,Guy fidgets alot.
1996,Ye sab doglapan hai 
1997,Please get the white balance same for every angle. Its distracting.
1998,"you are very susinct, sorry sussinct is the word"
1999,Ye Sab doglapan h ....
2000,"Good clarity in the Business world, Good Man right attitude"
2001,"Best one sir 
Most viewed video on Raj's channel good 
I really appreciate your efforts"
2002,"Short term capture ho jata hai long term koi dekhta nahi hai ...... Won my heart well I personally never heard any entrepreneur so clear and with this interview I am his fan now
I myself gone through that Haan
And then facing all blames."
2003,After watching shark tank india I can say now he is one of my favorite shark.
2004,I agree with ashneer especially in language thing. I've always believed in that.
2005,"41:10
I have one question in my mind
He says that u can do pizza party and spend money by scanning the qr on shop. But to take money to bank u have to pay 2%.

My doubt is what if i pay to shopkeeper using Qr but tell him to give me cash.(shopkeeper is my frnd )"
2006,Best part starts after 1 hour 
2007,"Came here just for Ashneer Grover ! Kya sahi sachha insan hai ! 

Ye interviewer jama nahi, kaafi fake hai ban rha hai !"
2008,Need part 2 for ashneer
2009,Loved it....
2010,You could have asked more about IIT & IIM ️
2011,47:26 some powerful words
2012,Very informative....I hope young people in  India will stop watching shows like Roadies Splitsvilla and start thinking Bout entreprenuership
2013,"Last printed line was cool "" figering out """
2014,Shark tank is what india likes to watch not tmkoc 
2015,"1:13:21 ""business ha yaar shit happens "" "
2016,"Shark tank jaane kae liye entrepreneur..
Shark tank inspiration deta hae.. shark tank kae liye 
Mza aa gya"
2017,"OMG 
Nice explain about business ."
2018,best conversation i like it
2019,I am a fan of Ashneer Grover Attitude...
2020,I am big fan of Ashneer Grover Sir
2021,"Ashnir, Piyush & Aman ye 3 har season me chahiye 

Varna shark tank season 2 MAT LANA "
2022,He is desi businessman with modern mindset.
2023,Very insightful
2024,He is a real Shark!
2025,Fun Fact :) People Want Other Sharks In Next Podcast
2026,What a great man Ashneer are really maza agya boss
2027,Bro please add English subtitles
2028,Ashneer️
2029,1:07:10 well that went through my head like math
2030,Straightforward successful
2031,Do we need to go  IIT and IIM to become an entrepreneur 
2032,"Can anyone please explain me how a company is evaluated, means in shark tank also startups are saying their companies evaluation in 100, 200 crore although they haven't even sell their first product. Please i am really curious"
2033,Ashneer bhai ne dil jit liya... Wapasss.. 
2034,One thing ashneer has cleared that I m an entrepreneur not a motivational speaker jaise YouTube pe aate hi log banjate hai that is Gyaan Pelna
2035,Everything about him is he is trying to just get fame good luck supporting him people ️
2036,love it
2037,Wonderful
2038,My favourite 
2039,"Gyaan toh sahi de rha hai bhai, I can see now why so many folks are pissed at him haha "
2040,Interesting man ..
2041,Bhai u are Amitabh bachan of this industry.....this for Grover shab
2042,I think you should call all Sharks
2043,"Bro, Nice Episode. Just one suggestion, you should have kept a glass of water or a bottle."
2044,Hey bro! Love from Indore... And I too understand...
2045,Ashneer bhai 
2046,Best: I don't think you are not on the right path :D :D
2047,I don’t care what anyone says Ashneer is the real deal shark 
2048,"49:48
He's talking about the INDMoney app !!"
2049,Yrr life me koi itnà clear kaise ho skta incredible man
2050,Really a Wow video
2051,Awesome
2052,Ashneer ...hero
2053,All good points except Electric vehicle. They will most likely fail in India.
2054,
2055,This man has intelligence + Engery  but integration ni hai isme thtswhy he keeps his interest  above organisation interest..... Own interest is leads to down organisational interest.
2056,Everybody think ashneer is DOLLY Bindra ....
2057,@beerbiceps please do a podcast with Ashneer
2058,My view on ashneer has changed now....
2059,Ashneer bhai Bhartpe ki bajai se otna popular nahi hua jitna shark tank mei gali dene mei popular hua. I like your attitude
2060,"ashneer is a pure baniya!!! he doesn't give a fuck about books , podcast only market ....... you have became my favourite entrepreneur"
2061,Acha tha conversation
2062,Billion dollars conversation ...
2063,I want one vedio on Peyush Bansal please it's requiest.
2064,Ashneer  fire
2065,Best shark in shark tank India
2066,Don't go for view because people are easily make you hero' and then make you zero...
2067,"No filter Ashneer
Ashneer: Jo hai So hai"
2068,Please get Peyush Bansal. Please 
2069,Conversations feels like first benchers are talking.
2070,"Sab “baniyagiri” hai.. Sorry I’ve been living under a rock in India, what does “baniyagiri” mean, is this caste related ?"
2071,It's just trs vs figuring out now!
2072,Avneesh GOAT
2073,"Shark Tank Judges Per Episode Salary:-
https://www.youtube.com/watch?v=F2HNMIyHPT4"
2074,This person can replace Narendra Modi...If such intelligent people run the country then very few will leave without food...
2075,Guys the painting that you see in the background is plagiarism. The original artist has put this on his instagram account.
2076,itna ganda valuation kyo diye bhai fir paytm wale
2077,You are more handsome than  Shah rukh khan.
2078,1:02:26
2079,IIT Ahemdabad ka lagata nahi ashneer 
2080,1h 26 minutes is better than a movie
2081,Revemp motors kaha he isme
2082,Can anyone explain that bit he spoke at 30.30
2083,क्या बढ़िया बंदा है यार!
2084,It's the podcast
2085,What is the meaning of Doglappan? Anyone?
2086,is he founder or co founder? If co founder then why have you put founder in your title?
2087,He doesn't understand what Ashneet is talking about.  Does he?
2088,43:18 what is the exact word ??
2089,Mai fan ban gya hu ashneer ji kaaa. 
2090,1:02:00 confirm that leak Audio is ashneer 
2091,right
2092,YEH SAB DOGLAPAN HAI 
2093,
2094,हाँ और ना जिस तरह से समझाया वो बेहतरीन था
2095,What at 1.5X speed
2096,Piyush Bansal ko bhi Bulao Raj bhai
2097,21:00 nykaa nahi bolna hota haha
2098,People who genuinely like ashneer will genuinely hate Raj shamani and ranveer ahlabadia
2099,Ashneer bhai get bored at last
2100,"Yes, Absolutely Right enterpreneurs are real heros....rather  then movies or tv serial actor . And now india is on right path.. Because this enterpreneurs will make an inspiration for young youth.... 
And not the movi actor.. "
2101,This 1:26 minutes is better than Bollywood movie  I love Ashneer Grover
2102,My fav. Shark is Ashneer Grover and after listening this interview I am his fan now.
2103,I was with him from 1st episode itself...
2104,I love Ashneer Grover though he is genius
2105,Gr8..conversation..to the point and practical..Dhande ki baat..
2106,"01:10:40 - Investor’s POV
the real gems"
2107,"One thing is true what he said

He either have people who likes him or

Who hates him


There is no in between"
2108,"Real hero of INDIA,we should inspire from these real hero not from Reel hero.🇮🇳🇮🇳🇮🇳🇮🇳"
2109,Ashneer sir is 
2110,I love him  my fav shark.
2111,"King of shark  Tank
Is back with a bang"
2112,He is nt rude he is straightforward
2113,Thanks for this man
2114,Nice conversation 
2115,One of the best video on YouTube
2116,Best video  
2117,"wow business in india has to be done in an Indian way.... thats the basis of ""know your customer.."""
2118,"plz call other sharks too.. like peyush, aman, anupam etc"
2119,He is just obsessed with the word 'dhandha'
2120,Wow…I just opened YouTube cuz I was having some Ashneer’s Craving  and there I find it 
2121,You asked all good questions.
2122,He is the true businessmen of old Delhi
2123,I'm here for Ashneer Grover
2124,"Make season 2 of shark tank with same shark ashneer, Anupam,  Aman,  peyush,"
2125,well spent time thx for bringing this
2126,"Ashneer is my fav , am I allowed to say this"
2127,
2128,wow one and half hours of ashneer :D
2129,Ashneer ️
2130,Good interview but her never told about bharat pay revenue model.
2131,One more season of Shark Tank 🇮🇳 and we will forget Shark Tank 🇺🇸
2132,People watch shark tank because of ASHNEER THE REAL SHARK 
2133,Ashneer sir ek no 
2134,Ashneer God hai️
2135,Something great is here !!
2136,Ye log hai heros 
2137,"Indians too much defended by language..
But such people are honest and best for society.."
2138,i loved it
2139,This particular video got the Highest views ever on this  Channel....
2140,he is my favourite
2141,Ranveer allahbadia crying in the corner while watching this podcast 
2142,"Finally Now business is fashion not bollywood , Samajh aaya sabko ki nahin ""pakode bechana"" was a example of to sell some thing."
2143,I find Ashneer quite cool
